id,lat,lng,categoria_pbi,dia_pbi,endereco_pbi,subprefeitura_pbi
1042-1,-23.5977149,-46.6288885,Tradicional,Domingo,"Rua Jureia, 41 - Sta Cruz - São Paulo , 04140-110",Vila Mariana
1043-0,-23.511646,-46.7554894,Tradicional,Domingo,"Rua Agamenon Magalhaes, 138 - Sta Edwiges - São Paulo , 05105-090",Lapa
1044-8,-23.6410552,-46.6365678,Tradicional,Domingo,"Praça Nova America, 15 - Cid Vargas - São Paulo , 04316-090",Jabaquara
1045-6,-23.5993564,-46.4860971,Tradicional,Domingo,"Rua Joaquim Gouveia Franco, 173 - Cid São Matheus - São Paulo , 03961-020",São Mateus
1046-4,-23.5751854,-46.5640059,Tradicional,Domingo,"Rua Buenopolis, 117 - Vila Diva - São Paulo , 03161-010",Mooca
1047-2,-23.5027055,-46.4314517,Tradicional,Domingo,"Av Prof Assis Veloso, 820 - Jd São Vicente - São Paulo , 08021-470",São Miguel Paulista
1048-0,-23.5692113,-46.753999,Tradicional,Domingo,"Rua Jose Joaquim Seabra, 1186 - Vila Tiradentes - São Paulo , 05364-000",Butantã
1049-9,-23.5815782,-46.5151996,Tradicional,Domingo,"Rua Prof Alzira De O Gilioli, 177 - Vila Rica - São Paulo , 03905-100",Aricanduva/Formosa /Carrão
1050-2,-23.5977686,-46.52524,Tradicional,Domingo,"Rua Dr Tolstoi De Carvalho, 1000 - Sapopemba - São Paulo , 03269-020",Sapopemba
1051-0,-23.4685176,-46.6046905,Tradicional,Domingo,"Rua Mere Marie Annais Do Sion, 100 - Vila Nova Mazzei - São Paulo , 02343-030",Santana/Tucuruvi
1052-9,-23.4803683,-46.5900355,Tradicional,Domingo,"Rua Canedos, 1000 - Vila Gustavo - São Paulo , 02252-010",Santana/Tucuruvi
1053-7,-23.5295784,-46.6731686,Tradicional,Domingo,"Rua Dr Costa Junior C Tanabi, 500 - Agua Branca - São Paulo , 05002-000",Lapa
1054-5,-23.6039377,-46.6165744,Tradicional,Domingo,"Rua Assungui C/ Americo Ribeiro, 100 - Vila Gumercindo - São Paulo , 04131-000",Ipiranga
1055-3,-23.551983,-46.5352217,Tradicional,Domingo,"Rua Luis Pinto, 99999 - Vila Carrao - São Paulo , 03427-000",Aricanduva/Formosa /Carrão
1056-1,-23.5140405,-46.745443,Tradicional,Domingo,"Rua Pedro Henrique De O Braganca, 676 - Vila Jaguara - São Paulo , 05117-002",Lapa
1057-0,-23.4743584,-46.6813481,Tradicional,Domingo,"Rua Rodolfo Marcos Teofilo, 248 - Jd Eliseo - São Paulo , 02862-100",Freguesia/Brasilândia
1058-8,-23.5932513,-46.6469111,Tradicional,Domingo,"Rua Dra Neyde Apparecida Sollito, 12 - Vila Clementino - São Paulo , 04022-040",Vila Mariana
1059-6,-23.5985522,-46.6758022,Tradicional,Domingo,"Rua Helion Povoa, 165 - Vila Olimpia - São Paulo , 04546-080",Pinheiros
1060-0,-23.4980607,-46.5949887,Tradicional,Domingo,"Rua Luciano Broinizzi C Japi, 200 - Vila Ede - São Paulo , 02083-120",Vila Maria/Vila Guilherme
1061-8,-23.5017634,-46.3971287,Tradicional,Domingo,"Rua Valente De Novaes, 60 - Jd Camargo - São Paulo , 08120-420",Itaim Paulista
1062-6,-23.5140413,-46.4996637,Tradicional,Domingo,"Rua Francisco Souza Queiroz, 92 - Vila Rio Branco - São Paulo , 03874-100",Ermelino Matarazzo
1063-4,-23.4783949,-46.4220979,Tradicional,Domingo,"Rua Camomila, 852 - Jd Helena - São Paulo , 08090-530",São Miguel Paulista
1065-0,-23.6137062,-46.6189622,Tradicional,Domingo,"Praça Bras Goncalves, 99 - Jd Da Saude - São Paulo , 04148-040",Ipiranga
1066-9,-23.632765,-46.5870577,Tradicional,Domingo,"Rua Antonio Lamas, 320 - Vila Cristalia - São Paulo , 04257-190",Ipiranga
1067-7,-23.6663223,-46.6386065,Tradicional,Domingo,"Rua Hugo Vitor Da Silva, 50 - Americanopolis - São Paulo , 04340-040",Jabaquara
1068-5,-23.5073202,-46.5371557,Tradicional,Domingo,"Rua Goita, 100 - Cangaiba - São Paulo , 03715-040",Penha
1070-7,-23.6366395,-46.7495706,Tradicional,Domingo,"Rua Francisco Soares, 246 - Parque Regina - São Paulo , 05774-300",Campo Limpo
1071-5,-23.747041,-46.687765,Tradicional,Domingo,"Rua Jose Bezerra Filho, 1 - Parque Grajau - São Paulo , 04842-340",Capela Do Socorro
1073-1,-23.51497,-46.5088594,Tradicional,Domingo,"Av Cachoeira Santa Cruz, 751 - Jd Popular - São Paulo , 03625-000",Ermelino Matarazzo
1074-0,-23.589277,-46.7940437,Tradicional,Domingo,"Rua Aderbal Stresser, 25 - Jd Arpoador - São Paulo , 05566-000",Butantã
1075-8,-23.6131562,-46.5057981,Tradicional,Domingo,"Rua Alm Otacilio Cunha, 100 - Parque Sta Madalena - São Paulo , 03982-190",Sapopemba
