id,lat,lng
1001-4,-23.5569885,-46.6284503
1002-2,-23.5387433,-46.6149628
1003-0,-23.5773576,-46.6227437
1004-9,-23.527224,-46.6979779
1005-7,-23.5514911,-46.599643
1006-5,-23.5429031,-46.5938736
1007-3,-23.5732611,-46.6056448
1008-1,-23.5497159,-46.5731826
1009-0,-23.5871347,-46.6146422
1010-3,-23.5729421,-46.6469935
1011-1,-23.5391639,-46.6491898
1012-0,-23.5790562,-46.5847934
1013-8,-23.5650339,-46.5832228
1014-6,-23.4858295,-46.6383709
1015-4,-23.6134706,-46.609397
1016-2,-23.5974099,-46.5654708
1017-0,-23.6031419,-46.6643298
1018-9,-23.4951775,-46.6281876
1019-7,-23.5038803,-46.6611137
1020-0,-23.5003177,-46.6542547
1021-9,-23.4869125,-46.6788155
1022-7,-23.4950429,-46.685379
1023-5,-23.4828509,-46.6142729
1024-3,-23.4938846,-46.5791133
1025-1,-23.5038483,-46.5786321
1026-0,-23.4679533,-46.5904837
1027-8,-23.471214,-46.6611232
1028-6,-23.6183838,-46.6354013
1029-4,-23.5928117,-46.7297553
1030-8,-23.5655409,-46.5361651
1031-6,-23.5413385,-46.5453798
1032-4,-23.5174119,-46.5393605
1033-2,-23.5963365,-46.5415926
1034-0,-23.5458344,-46.5187971
1035-9,-23.5258762,-46.5196305
1036-7,-23.5391052,-46.4886052
1037-5,-23.5379194,-46.4537446
1038-3,-23.4903899,-46.4753695
1039-1,-23.5475093,-46.4094261
1040-5,-23.4782578,-46.7000916
1041-3,-23.497217,-46.7132322
1042-1,-23.5977149,-46.6288885
1043-0,-23.511646,-46.7554894
1044-8,-23.6410552,-46.6365678
1045-6,-23.5993564,-46.4860971
1046-4,-23.5751854,-46.5640059
1047-2,-23.5027055,-46.4314517
1048-0,-23.5692113,-46.753999
1049-9,-23.5815782,-46.5151996
1050-2,-23.5977686,-46.52524
1051-0,-23.4685176,-46.6046905
1052-9,-23.4803683,-46.5900355
1053-7,-23.5295784,-46.6731686
1054-5,-23.6039377,-46.6165744
1055-3,-23.551983,-46.5352217
1056-1,-23.5140405,-46.745443
1057-0,-23.4743584,-46.6813481
1058-8,-23.5932513,-46.6469111
1059-6,-23.5985522,-46.6758022
1060-0,-23.4980607,-46.5949887
1061-8,-23.5017634,-46.3971287
1062-6,-23.5140413,-46.4996637
1063-4,-23.4783949,-46.4220979
1065-0,-23.6137062,-46.6189622
1066-9,-23.632765,-46.5870577
1067-7,-23.6663223,-46.6386065
1068-5,-23.5073202,-46.5371557
1070-7,-23.6366395,-46.7495706
1071-5,-23.747041,-46.687765
1073-1,-23.51497,-46.5088594
1074-0,-23.589277,-46.7940437
