id,lat,lng
1001-4,-23.5587531,-46.6295255
1002-2,-23.5392402,-46.61606
1003-0,-23.579162,-46.6228492
1004-9,-23.5271008,-46.697763
1005-7,-23.5514911,-46.599643
1006-5,-23.5438761,-46.5935729
1007-3,-23.58661,-46.604182599999994
1008-1,-23.5497159,-46.573182599999996
1009-0,-23.5900562,-46.617401199999996
1010-3,-23.576091299999998,-46.6454588
1011-1,-23.5391639,-46.649189799999995
1012-0,-23.5769344,-46.5842842
1013-8,-23.5650339,-46.583222799999994
1014-6,-23.488515300000003,-46.6497436
1015-4,-23.612713,-46.608838999999996
1016-2,-23.601497,-46.5681078
1018-9,-23.494173399999998,-46.6287917
1019-7,-23.5038803,-46.6611137
1020-0,-23.4977044,-46.6548346
1021-9,-23.4867779,-46.678445499999995
1022-7,-23.495042899999998,-46.685379
1023-5,-23.4814179,-46.617628499999995
1024-3,-23.4939821,-46.5794973
1025-1,-23.503757999999998,-46.5786013
1026-0,-23.4678826,-46.58860790000001
1027-8,-23.471214,-46.6611232
1028-6,-23.617955199999997,-46.63564
1029-4,-23.593173399999998,-46.729630300000004
1030-8,-23.5655409,-46.5361651
1031-6,-23.541803500000004,-46.5473368
1032-4,-23.517412300000004,-46.5393629
1033-2,-23.595450399999997,-46.5406051
1034-0,-23.5458873,-46.5180471
1035-9,-23.526053899999997,-46.519628999999995
1036-7,-23.540849299999998,-46.4896393
1037-5,-23.539917199999998,-46.4535068
1038-3,-23.4903899,-46.4753695
1039-1,-23.5503374,-46.409537199999995
1041-3,-23.497217,-46.7132322
1042-1,-23.5992018,-46.62949
1043-0,-23.511646,-46.755489399999995
1045-6,-23.6010366,-46.485026399999995
1046-4,-23.5743348,-46.5641591
1047-2,-23.5027238,-46.4311286
1048-0,-23.57267,-46.752554599999996
1050-2,-23.5957901,-46.52435750000001
1052-9,-23.4804924,-46.589963499999996
1053-7,-23.5315105,-46.6738153
1054-5,-23.6059362,-46.6174368
1055-3,-23.551983,-46.5352217
1056-1,-23.5102786,-46.746534499999996
1057-0,-23.4743584,-46.6813481
1058-8,-23.593437599999998,-46.6485322
1059-6,-23.5985531,-46.6758021
1060-0,-23.4965779,-46.5972687
1061-8,-23.500914899999998,-46.3954635
1062-6,-23.5140413,-46.499663700000006
1063-4,-23.478394899999998,-46.4220979
1065-0,-23.6138983,-46.6203256
1066-9,-23.630976999999998,-46.585557
1067-7,-23.6668479,-46.640724399999996
1068-5,-23.506227,-46.5377588
1070-7,-23.6358419,-46.7495383
1071-5,-23.747220199999997,-46.6848896
1073-1,-23.514969999999998,-46.5088594
1074-0,-23.592611299999998,-46.792673199999996
1075-8,-23.613085599999998,-46.5064239
1076-6,-23.6408278,-46.6534079
1077-4,-23.6762297,-46.6955932
1078-2,-23.63148,-46.766459999999995
1079-0,-23.667645399999998,-46.6524676
1080-4,-23.7137876,-46.6990537
1081-2,-23.6070903,-46.6924673
1082-0,-23.6884461,-46.7716351
1083-9,-23.7255246,-46.7045491
1084-7,-23.6834418,-46.638037
1085-5,-23.6526943,-46.7371719
1086-3,-23.6904659,-46.710088
1087-1,-23.6919078,-46.660391399999995
1089-8,-23.611150799999997,-46.7053453
1090-1,-23.651298999999998,-46.7133353
1091-0,-23.553896299999998,-46.502198899999996
1094-4,-23.6745061,-46.7497019
1095-2,-23.6188978,-46.5112848
1096-0,-23.6755872,-46.6646742
1099-5,-23.5056981,-46.382273399999995
1102-9,-23.482988199999998,-46.4214841
1104-5,-23.542367900000002,-46.746394699999996
1105-3,-23.5183639,-46.4580215
1106-1,-23.5967491,-46.440938499999994
1108-8,-23.5614547,-46.491493299999995
1110-0,-23.596497799999998,-46.501278
1111-8,-23.4961752,-46.673279699999995
1113-4,-23.5222426,-46.4124227
1114-2,-23.575757199999998,-46.7234015
1115-0,-23.6643722,-46.7884313
1117-7,-23.4494342,-46.588834
1118-5,-23.6503538,-46.779376199999994
1119-3,-23.695957099999998,-46.7790453
1121-5,-23.6628591,-46.7561484
1123-1,-23.686173099999998,-46.6479662
1124-0,-23.5761891,-46.4848127
1126-6,-23.4078598,-46.763221699999995
1127-4,-23.767436999999997,-46.684606599999995
