id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,cep,subprefeitura,lat,lng,geocode_status,distrito
1039-1,Domingo,Tradicional,Rua,Coutinho E Melo,100,GuaianaSés,08411-090,Guaianases,-23.5475093,-46.4094261,painel_prefeitura,Guaianases
1040-5,Domingo,Tradicional,Estrada,Do Sabao,448,Cruz Das Almas,02806-000,Freguesia/Brasilândia,-23.4782578,-46.7000916,painel_prefeitura,Freguesia do O
1041-3,Domingo,Tradicional,Rua,Antonio Correia,618,Vila Bonilha,02917-050,Pirituba/Jaraguá,-23.497217,-46.7132322,painel_prefeitura,Pirituba
1042-1,Domingo,Tradicional,Rua,Jureia,41,Santa Cruz,04140-110,Vila Mariana,-23.5977149,-46.6288885,painel_prefeitura,Vila Mariana
1043-0,Domingo,Tradicional,Rua,Agamenon Magalhaes,138,Santa Edwiges,05105-090,Lapa,-23.511646,-46.7554894,painel_prefeitura,Jaguara
1044-8,Domingo,Tradicional,Praça,Nova America,15,Cid Vargas,04316-090,Jabaquara,-23.6410552,-46.6365678,painel_prefeitura,Jabaquara
1045-6,Domingo,Tradicional,Rua,Joaquim Gouveia Franco,173,Cid São Matheus,03961-020,São Mateus,-23.5993564,-46.4860971,painel_prefeitura,Sao Mateus
1046-4,Domingo,Tradicional,Rua,Buenopolis,117,Vila Diva,03161-010,Mooca,-23.5751854,-46.5640059,painel_prefeitura,Agua Rasa
1047-2,Domingo,Tradicional,Avenida,Prof Assis Veloso,820,Jardim São Vicente,08021-470,São Miguel,-23.5027055,-46.4314517,painel_prefeitura,Sao Miguel
1048-0,Domingo,Tradicional,Rua,Jose Joaquim Seabra,1186,Vila Tiradentes,05364-000,Butantã,-23.5692113,-46.753999,painel_prefeitura,Rio Pequeno
1049-9,Domingo,Tradicional,Rua,Prof Alzira De O Gilioli,177,Vila Rica,03905-100,Aricanduva/Formosa/Carrão,-23.5815782,-46.5151996,painel_prefeitura,Aricanduva
1050-2,Domingo,Tradicional,Rua,Dr Tolstoi De Carvalho,1000,Sapopemba,03269-020,Sapopemba,-23.5977686,-46.52524,painel_prefeitura,Sapopemba
1051-0,Domingo,Tradicional,Rua,Mere Marie Annais Do Sion,100,Vila Nova Mazzei,02343-030,Santana/Tucuruvi,-23.4685176,-46.6046905,painel_prefeitura,Tucuruvi
1052-9,Domingo,Tradicional,Rua,Canedos,1000,Vila GuSantavo,02252-010,Santana/Tucuruvi,-23.4803683,-46.5900355,painel_prefeitura,Tucuruvi
1053-7,Domingo,Tradicional,Rua,Dr Costa Junior C Tanabi,500,Agua Branca,05002-000,Lapa,-23.5295784,-46.6731686,painel_prefeitura,Barra Funda
1054-5,Domingo,Tradicional,Rua,Assungui C/ Americo Ribeiro,100,Vila Gumercindo,04131-000,Ipiranga,-23.6039377,-46.6165744,painel_prefeitura,Cursino
1055-3,Domingo,Tradicional,Rua,Luis Pinto,99999,Vila Carrao,03427-000,Aricanduva/Formosa/Carrão,-23.551983,-46.5352217,painel_prefeitura,Carrao
1056-1,Domingo,Tradicional,Rua,Pedro Henrique De O Braganca,676,Vila Jaguara,05117-002,Lapa,-23.5140405,-46.745443,painel_prefeitura,Jaguara
1057-0,Domingo,Tradicional,Rua,Rodolfo Marcos Teofilo,248,Jardim EliSéo,02862-100,Freguesia/Brasilândia,-23.4743584,-46.6813481,painel_prefeitura,Brasilandia
1058-8,Domingo,Tradicional,Rua,Dra Neyde Apparecida Sollito,12,Vila Clementino,04022-040,Vila Mariana,-23.5932513,-46.6469111,painel_prefeitura,Vila Mariana
1059-6,Domingo,Tradicional,Rua,Helion Povoa,165,Vila Olimpia,04546-080,Pinheiros,-23.5985522,-46.6758022,painel_prefeitura,Itaim Bibi
1060-0,Domingo,Tradicional,Rua,Luciano Broinizzi C Japi,200,Vila Ede,02083-120,Vila Maria/Vila Guilherme,-23.4980607,-46.5949887,painel_prefeitura,Vila Medeiros
1061-8,Domingo,Tradicional,Rua,Valente De Novaes,60,Jardim Camargo,08120-420,Itaim Paulista,-23.5017634,-46.3971287,painel_prefeitura,Itaim Paulista
1062-6,Domingo,Tradicional,Rua,Francisco Souza Queiroz,92,Vila Rio Branco,03874-100,Ermelino Matarazzo,-23.5140413,-46.4996637,painel_prefeitura,Ponte Rasa
1063-4,Domingo,Tradicional,Rua,Camomila,852,Jardim Helena,08090-530,São Miguel,-23.4783949,-46.4220979,painel_prefeitura,Jardim Helena
1065-0,Domingo,Tradicional,Praça,Bras Goncalves,99,Jardim Da Saude,04148-040,Ipiranga,-23.6137062,-46.6189622,painel_prefeitura,Cursino
1066-9,Domingo,Tradicional,Rua,Antonio Lamas,320,Vila CriSantalia,04257-190,Ipiranga,-23.632765,-46.5870577,painel_prefeitura,Sacoma
1067-7,Domingo,Tradicional,Rua,Hugo Vitor Da Silva,50,Americanopolis,04340-040,Jabaquara,-23.6663223,-46.6386065,painel_prefeitura,Jabaquara
